SENARAI STESEN ARAS AIR (WATER LEVEL) DI RANGKAIAN HIDROLOGI NASIONAL,,,,,
,,,,,
STATION NO,STATION NAME,FUNCTION,STATE,LATITUDE,LONGITUDE
2222402,Lencongan Sg.Malim di Klebang Besar U/S,WL,Melaka,02 13 58,102 12 10
2222412,Sungai Melaka di Durian Tunggal D/S,WL,Melaka,02 17 58,102 15 55
2222413,Sungai Melaka di Durian Tunggal U/S,WL,Melaka,02 17 58,102 15 55
2224432,Sg. Kesang di Chin Chin,WL,Melaka,02 17 25,102 29 35
2322412,Sungai Melaka di Melaka Pindah,WL,Melaka,02 22 24,102 13 16
2322413,Sg. Melaka di Pantai Belimbing,WL,Melaka,02 20 35,102 15 10
2322414,Sg.Durian Tunggal di D.Tunggal,WL,Melaka,02 18 55,102 17 05
2322415,Sg.Durian Tunggal di B.11 Air Resam,WL,Melaka,02 19 25,102 17 35
2421401,Sg. Rembau di Titian Bintagor,WL,Negeri Sembilan,02 28 22.9,102 06 0.05
2519421,Sg. Linggi di Sua Betong,WL,Negeri Sembilan,02 40 52,101 55 39
2520432,Sg. Pedas di Kg. Pilin,WL,Negeri Sembilan,02 31 00,102 03 30
2524403,Sg. Gemencheh di Gemencheh,WL,Negeri Sembilan,02 33 54.8,102 26 49.6
2524416,Sg. Gemencheh di Gedok,WL,Negeri Sembilan,02 33 05,102 25 20
2525415,Sg. Gemencheh di Jln. Gemas-Rompin,WL,Negeri Sembilan,02 33 56,102 26 48
2619401,Sg. Linggi At Jam. Jln. Persekutuan,WL,Negeri Sembilan,02 41 10,101 55 50
2619402,Sg. Linggi At Mantau,WL,Negeri Sembilan,02 44 08,101 57 18
2619424,Sg. Mantau At Kg. Mantau,WL,Negeri Sembilan,02 41 30,101 55 00
2625412,Sg. Muar At Bt.57 Jln.Gemas-Rompin,WL,Negeri Sembilan,02 38 20,102 32 30
2625413,"Sg. Muar di Jam.Konkrit,Pekan Rompin",WL,Negeri Sembilan,02 42 22,102 30 08
2719422,Sg. Linggi At Rahang,WL,Negeri Sembilan,02 42 35,101 57 15
2722413,Sg. Muar di Kuala Pilah,WL,Negeri Sembilan,02 44 55,102 14 55
2722414,Sg. Muar di Ampangan Tinggi,WL,Negeri Sembilan,02 44 54.2,102 13 47.8
2723401,Sg. Kepis di Jam. Kayu Lama,WL,Negeri Sembilan,02 42 20,102 21 20
2920432,Sg. Triang di Kg. Chenor,WL,Negeri Sembilan,02 56 55,102 05 20
2923401,Sg. Serting di Serting Ulu,WL,Negeri Sembilan,02 54 07.2,102 18 49.4
3022431,Sg. Triang di Juntai,WL,Negeri Sembilan,03 04 30,102 13 05
2534401,Sg. Kemalai At Kg. Resam,WL,Pahang,02 35 15,103 27 20
2630401,Sg.Pukin,WL,Pahang,02 36 10,103 03 25
2634401,Sg. Anak Endau At Kg. Mok,WL,Pahang,02 36 55,103 28 05
2928401,Sg. Keratong di Jam.Bahau Kera tong,WL,Pahang,02 54 55,102 49 30
3024443,Sg. Serting di Jam.Padang Gudang,WL,Pahang,03 06 00,102 28 30
3029482,Sg. Rompin At Lubok Seribut,WL,Pahang,03 03 20,102 59 30
3030401,Sg. Rompin di Jam. Kuantan/Segamat,WL,Pahang,03 03 20,103 01 00
3125441,Sg. Bera di Stn. Hutan Kemayan,WL,Pahang,03 11 50,102 34 30
3220401,Sg.Perdak di Temelong,WL,Pahang,03 17 24,102 04 48
3224433,Sg. Triang di Jam. Keretapi,WL,Pahang,03 14 30,102 24 45
3229401,Sg. Jeram At Proposed Dam Site,WL,Pahang,03 03 10,102 58 05
3231493,Sg. Serai At Kg. Unchang,WL,Pahang,03 17 00,103 11 00
3318401,Sg. Tanglir di Jam. Jln Raya,WL,Pahang,03 21 30,101 50 35
3318402,Sg. Keshar di Jam. Lama,WL,Pahang,03 23 20,101 53 00
3318403,Sg. Benus di Hutan Lipur Lentang,WL,Pahang,03 23 05,101 53 15
3328401,Sg. Mentiga At Proposed Damsite,WL,Pahang,03 18 15,102 53 40
3329401,Sg. Mentiga di Jam. Cini 1,WL,Pahang,03 21 00,102 56 35
3420432,Sg.Semantan di Kg Lenkong,WL,Pahang,03 28 12,102 04 48
3423421,Sg. Semantan di Jam. Keretapi,WL,Pahang,03 29 15,102 20 40
3424411,Sg. Pahang di Temerloh,WL,Pahang,03 26 40,102 25 45
3431401,Sg.Pahang di Serambi (Paloh Inai),WL,Pahang,03 28 48,103 07 48
3434401,Sg. Pahang di Pekan,WL,Pahang,03 29 24,103 24 36
3518401,Empangan Repas,WL,Pahang,03 33 36,101 52 48
3519426,Sg. Bentong di Kuala Marong,WL,Pahang,03 30 45,101 54 55
3525405,Sg. Jengka di Jam. Kg. Awah,WL,Pahang,03 31 15,102 30 50
3527410,Sg. Pahang di Lubok Paku,WL,Pahang,03 30 45,102 45 30
3626401,Sg. Jempol di Ran. Felda Jengka,WL,Pahang,03 39 00,102 40 10
3629403,Sg. Lepar di Jam. Gelugor,WL,Pahang,03 41 50,102 58 20
3831401,Sg.Kuantan di Pasir Kemudi,WL,Pahang,03 52 12,103 11 24
3925401,Sg. Tekam di Lembangan Ujian A,WL,Pahang,03 54 10,102 32 25
3925402,Sg. Tekam di Lembangan Ujian B,WL,Pahang,03 54 00,102 32 10
3925403,Sg. Tekam di Lembangan Ujian C,WL,Pahang,03 54 30,102 31 55
3930401,Sg. Kuantan di Bukit Kenau,WL,Pahang,03 55 55,103 03 30
4019462,Sg. Lipis di Benta,WL,Pahang,04 01 05,101 57 55
4023412,Sg. Pahang di Sg. Yap,WL,Pahang,04 01 55,102 19 30
4121413,Sg. Jelai di Jeram Bungor,WL,Pahang,04 11 10,102 08 40
4218416,Sg. Jelai di Kuala Medang,WL,Pahang,04 17 40,101 48 40
4219414,Sg. Jelai At Padang Tungku,WL,Pahang,04 14 25,101 59 10
4219415,Sg. Jelai di Bkt. Betong,WL,Pahang,04 15 00,101 56 25
4223450,Sg. Tembeling di Kg. Merting,WL,Pahang,04 14 20,102 23 10
4320401,Sg. Kecau di Kg. Dusun,WL,Pahang,04 19 15,102 03 40
4324454,Sg. Tembeling di Kuala Tahan,WL,Pahang,04 23 05,102 24 15
4514401,Sg.Ikan,WL,Pahang,04 34 12,101 24 36
3813414,Sg. Trolak di Trolak,WL,Perak,03 53 30,101 22 45
3814413,Sg. Slim At Kg. Slim,WL,Perak,03 51 00,101 28 45
3814415,Sg. Bil At Jln. Tg. Malim-Slim,WL,Perak,03 49 30,101 29 20
3814416,Sg. Slim At Slim River,WL,Perak,03 49 35,101 24 40
3901401,Sungai Bidor di Changkat Jong,WL,Perak,3.99,101.1
3907403,"Sg.Perak di Kg.Pasang Api, Bagan Datok",WL,Perak,3 59 17.37,100 45 55.69
3911457,Sg. Sungkai At Jln. Anson-Kampar,WL,Perak,03 59 20,101 07 30
3913458,Sg. Sungkai di Sungkai,WL,Perak,03 59 15,101 18 50
4011451,Sg. Bidor At Batu 9 Jln. Anson,WL,Perak,04 00 00,101 07 55
4012401,Sg. Bidor di Bidor Malayan Tin Bhd.,WL,Perak,04 04 30,101 14 40
4012452,Sg. Bidor At Bt. 18 Jln. Anson,WL,Perak,04 01 45,101 14 00
4012453,Sg. Bidor At Bidor Tin Deviation,WL,Perak,04 05 25,101 15 30
4109401,Sungai Perak di Kampung Gajah,WL,Perak,4 10 46.59,100 55 47.73
4111455,Sg. Batang Padang di Tg. Keramat,WL,Perak,04 08 05,101 08 50
4112454,Sg. Bidor At Bidor,WL,Perak,04 06 40,101 17 20
4112456,Sg. Btg Padang at Tapah,WL,Perak,04 12 00,101 15 45
4112459,Sg. Gedong At Bidor,WL,Perak,04 07 00,101 17 00
4209493,Sungai Perak di Teluk Sena,WL,Perak,04 15 20,100 54 00
4210401,"Sg. Tumboh At Jln. Kg.
Gajah/Tg.Tualang",WL,Perak,04 13 40,101 00 15
4212467,Sg. Chenderiang di Bt. 32 Jln. Tapah,WL,Perak,04 13 55,101 13 10
4310401,Sg. Kinta di Weir G di Tg. Tualang,WL,Perak,04 19 20,101 04 30
4311464,Sg. Kampar di Kg. Lanjut,WL,Perak,04 20 10,101 06 05
4409401,Sungai Perak di Parit,WL,Perak,4 28 19.82,100 54 17.64
4410461,Sg. Kinta di Batu Gajah,WL,Perak,04 28 05,101 02 50
4410465,Sg. Raia di Ldg. Kinta Kellas,WL,Perak,04 28 30,101 05 15
4506401,Sg. Bruas At Kg. Padang Serai,WL,Perak,04 31 00,100 41 35
4509442,Sg. Perak At Jam. FALSErdin,WL,Perak,04 30 20,100 55 30
4510462,Sg. Kinta At Ipoh,WL,Perak,04 35 30,101 04 40
4510463,Sungai Kinta di Kuala Pari,WL,Perak,4 34 41.02,101 04 08.05
4511468,Sg. Raia di Keramat Pulai,WL,Perak,04 32 00,101 08 20
4610466,"Sg. Pari di Jln. Silibin, Ipoh",WL,Perak,04 36 20,101 04 00
4611463,Sg. Kinta di Tg. Rambutan,WL,Perak,04 40 10,101 09 30
4809443,Sg. Perak di Jambatan Iskandar,WL,Perak,04 49 10,100 57 55
4810444,Sg. Plus At Kg. Pulau Mentimun,WL,Perak,04 53 45,101 01 45
4907422,Sg. Kurau di Bt. 14 Jln. Taiping,WL,Perak,04 58 40,100 46 50
4909472,Empangan Chenderoh,WL,Perak,04 57 40,100 58 45
4911445,Sg. Plus di Kg. Lintang,WL,Perak,04 56 15,101 06 10
5006401,Kolam Air Bukit Merah,WL,Perak,5 01 05.79,100 39 10.80
5007421,Sg. Kurau di Pondok Tanjung,WL,Perak,05 00 45,100 43 55
5007423,Sg. Ara At Bt. 20 Jln. Taiping,WL,Perak,05 02 00,100 47 25
5106431,Sg. Kerian At Dusun Rimau,WL,Perak,05 11 40,100 40 00
5106433,Sg. Ijok di Titi Ijok,WL,Perak,05 08 25,100 41 50
5108401,Sungai Ijok di Bekalan Ijok,WL,Perak,5 07 14.18,100 48 14.91
5206432,Sg. Kerian di Selama,WL,Perak,05 13 45,100 41 20
5411446,Sg. Perak At Kenderong,WL,Perak,05 25 00,101 09 15
5513401,Tasik Temengoh di Banding,WL,Perak,5 33 02.11,101 21 09.84
5610401,Sg. Rui di Jam. Jalan Raya,WL,Perak,05 36 10,101 03 45
6402433,Sg. Arau di Kuala Tunggang,WL,Perlis,06 27 9.2,100 17 48
6402434,Sg. Gial di Titi Jln. Arau,WL,Perlis,6/27/05,100 15 50
6402435,Sg. Arau di Titi Jln. Arau,WL,Perlis,6/25/40,100 16 25
6502401,Sg. Jerneh di Titi Tampang,WL,Perlis,06 32 30,100 15 50
6502402,Sg. Buloh di Kg. Batu Tangkup,WL,Perlis,06 33 00,100 17 15
6502403,Kolam Air di Timah Tasoh Dam,WL,Perlis,06 33 75,100 14 45
6502431,Sg. Pelarit di Titi Baru,WL,Perlis,06 35 15,100 12 40
6502432,Sg. Tasoh di Titi Baru,WL,Perlis,06 35 50,100 14 45
6502436,Sg. Korok di Hulu Timah Tasoh dam,WL,Perlis,06 33 45,100 13 25
6503401,Sg. Arau di Ldg. Tebu Felda,WL,Perlis,6/30/10,100 21 05
6602401,Sg. Pelarit di Wang Mu,WL,Perlis,06 36 15,100 12 10
6602402,Sg. Pelarit di Kaki Bukit,WL,Perlis,06 36 45,100 12 25
6602403,Sg. Jarum di  Kg. Masjid,WL,Perlis,06 37 30,100 15 37
5204422,Sg. Jawi di Jam. Jln. Raya,WL,Pulau Pinang,05 12 10,100 29 55
5204423,Sungai Junjung di Simpang Empat,WL,Pulau Pinang,"5  17  38""","100  28  50"""
5302404,Sungai Dondang di Saluran,WL,Pulau Pinang,"5  22  51""","100  16  39"""
5304401,Sungai Juru Empangan juru,WL,Pulau Pinang,"5  20  00""","100  26  52"""
5403403,Sungai Pinang di Jalan P.Ramlee,WL,Pulau Pinang,"5  24  38""","100  19  02"""
5405421,Sg. Kulim di Ara Kuda,WL,Pulau Pinang,05 26 10,100 30 50
5504401,Sungai Muda di Bumbung Lima,WL,Pulau Pinang,"5  33  34""","100  26  10"""
5505412,Sg. Muda di Ldg. Victoria,WL,Pulau Pinang,05 31 55,100 34 20
5505413,Sungai Muda  di Piang Tunggal,WL,Pulau Pinang,"5  33  26""","100  30  25"""
5506413,Sg. Muda At Batu Pekaka,WL,Pulau Pinang,05 35 45,100 36 55
5506416,Sg. Sedim di Merbau Pulas,WL,Pulau Pinang,05 34 00,100 38 20
5506417,Sg. Karangan di Titi Karangan,WL,Pulau Pinang,05 31 20,100 37 10
2717401,Sg. Labu di Kg. Salak Tinggi,WL,Selangor,02 47 19.2,101 44 31.1
2816441,Sg. Langat di Dengkil,WL,Selangor,02 59 34,101 47 13
2816442,Sg. Labu di Kg. Labu (Masjid KLIA),WL,Selangor,02 48 17.5,101 41 30.5
2816443,Sg. Langat di Bukit Changgang,WL,Selangor,02 48 48.5,101 38 30.9
2917401,Sg. Langat di Kajang,WL,Selangor,02 59 40,101 47 10
2917442,Sg. Langat di Kajang,WL,Selangor,02 59 35,101 47 15
2918401,Sg. Semenyih di Sg. Rinching,WL,Selangor,02 54 55,101 49 25
2918443,Sg. Semenyih At Semenyih,WL,Selangor,02 56 45,101 50 55
3013401,Sg. Klang di Selat Muara Kelang,WL,Selangor,03 01 03.4,101 22 40.0
3014401,Sg. Klang di Bandar Klang,WL,Selangor,03 02 53.0,101 26 41.3
3015432,Sg. Klang di Taman Sri Muda 1,WL,Selangor,03 02 15.8,101 32 04.2
3015435,Sg. Damansara di batu 3,WL,Selangor,03 04 32.2,101 33 14.0
3015436,Sg. Klang di Puchong Drop,WL,Selangor,03 01 10.3,101 35 50.7
3015490,Sg. Damansara di TTDI Jaya,WL,Selangor,03 05 49.0,101 33 15.0
3016402,Sg. Penchala di Jalan 222,WL,Selangor,03 05 47.5,101 38 03.8
3016480,Sungai Penchala di Kg. Ghandi,WL,Selangor,03 04 35.2,101 37 17.0
3017444,Sg. Langat At Kg. Balak Kajang,WL,Selangor,03 00 55,101 46 25
3017445,Sg. Kuyoh di Sri Kembangan,WL,Selangor,03 00 52.2,101 43 07.2
3018401,Sg. Semenyih di Kg. Pasir,WL,Selangor,03 00 48.4,101 51 57.8
3111401,Sungai Penchala,WL,Selangor,"03 10 11.4""","101 35 11.44"""
3111402,Jambatan Athinapan TTDI,WL,Selangor,"03 08 44.1""","101 37 14.5"""
3111403,TV3,WL,Selangor,"03 08 44.9""","101 37 11.1"""
3111404,Sg. Kayu Ara,WL,Selangor,"03 06 43.8""","101 35 49.2"""
3111405,Taman Mayang,WL,Selangor,"03 06 45.8""","101 35 52.9"""
3115402,Sg. Buluh di Paya Jaras,WL,Selangor,03 11 47.5,101 32 55.6
3115403,Sg. Damansara di Taman Mayang,WL,Selangor,03 06 44.2,101 35 47.2
3115404,Sg. Damansara di Kg. Melayu Subang,WL,Selangor,03 09 00.2,101 32 27.4
3118445,Sg. Lui di Kg. Lui,WL,Selangor,03 10 25,101 52 20
3214401,Sg. Buluh di Sri Aman,WL,Selangor,03 14 46.1,101 28 10.9
3218401,Sg. Langat di TNB Ponsoon,WL,Selangor,03 12 34.7,101 52 33.1
3312446,Sg. Selangor di Teluk Penyamun,WL,Selangor,03 20 33.1,101 16 8.8
3313445,Sg. Selangor di Kuala Badong,WL,Selangor,03 22 18.9,101 22 13.8
3313470,Sg. Buluh di Parit Mahang,WL,Selangor,03 18 24.2,101 23 11.2
3315401,Sg. Rawang di Taman Tun Teja,WL,Selangor,03 18 16.9,101 35 31.0
3316401,Sg. Serendah di Serendah,WL,Selangor,03 22 06.2,101 36 24.5
3414421,Sg. Selangor di Rantau Panjang,WL,Selangor,03 24 10,101 26 35
3416402,Sg. Liam di Ulu Yam,WL,Selangor,03 27 38.4,101 38 14.4.
3416403,Sg. Batang Kali di Batang Kali,WL,Selangor,03 28 11.7,101 38 23.3
3516422,Sg. Selangor di Rasa,WL,Selangor,03 30 25,101 38 05
3516423,Sg. Kerling di Kerling,WL,Selangor,03 35 18.1,101 36 22.8
3516424,Sg. Selangor di Ampang Pecah,WL,Selangor,03 32 29.1,101 39 44.4
3615412,Sg. Bernam di Tanjung Malim,WL,Selangor,03 40 67,101 31 24
3808401,Sg. Bernam Sg. Air Tawar,WL,Selangor,03 51 23.6,100 53 45
3813411,Sg. Bernam di Jam. Skc,WL,Selangor,03 48 27,101 21 70
4131453,Sg. Cherul di Ban Ho,WL,Terengganu,4 08 00,103 10 30
4232401,Sg. Kemaman di Jam. Air Puteh,WL,Terengganu,4 16 15,103 11 55
4232451,Sg. Kemaman di Kuala Tayor,WL,Terengganu,4 15 55,103 16 30
4232452,Sg. Kemaman di Rantau Panjang,WL,Terengganu,4 16 50,103 15 45
4332401,Sg. Tebak di Jambatan Tebak,WL,Terengganu,4 22 40,103 15 45
4529401,Sg. Dungun di Rumah Pam Paya Kempian,WL,Terengganu,04 34 05,102 58 45
4628401,Sg. Chalok di Jam. Penarik,WL,Terengganu,4 36 12,102 49 07
4730401,"Sg. Dungun di Kg. Surau,Kuala Jengai",WL,Terengganu,04 44 05,103 05 15
4732461,Sg. Paka di Kg. Luit,WL,Terengganu,04 44 30,103 15 45
4831441,Sg. Dungun At Cableway Jerangau,WL,Terengganu,04 50 25,103 11 55
4832441,Sg. Dungun di Jam. Jerangau,WL,Terengganu,04 50 35,103 12 15
4930401,Sg. Berang di Menerong,WL,Terengganu,04 56 20,103 03 45
5029433,Sg. Terengganu di Kg. Dura,WL,Terengganu,5 04 00,102 56 35
5029434,Sg. Terengganu di Jeram Kenyir,WL,Terengganu,5 01 30,102 54 30
5031401,Sg. Maran di Jam.Peng. Berangan,WL,Terengganu,5 05 53,103 08 50
5129437,Sg. Telemong di Paya Rapat,WL,Terengganu,5 10 25,102 54 05
5129438,Sg. Telemong di Kuala Ping,WL,Terengganu,509.47,"10,255.066"
5130432,Sg. Terengganu  di Kg.Tanggol,WL,Terengganu,5 08 15,103 02 45
5229436,Sg. Nerus di  Kg. Bukit,WL,Terengganu,5 17 30,102 55 20
5424401,Sungai Besut di Jambatan Keruak,WL,Terengganu,5 29 00,102 29 30
5426401,Sg. Setiu di kampung Besut,WL,Terengganu,5 29 13,102 41 10
5428401,Sg. Chalok di Jam. Chalok,WL,Terengganu,5 26 30,102 50 05
5524401,Sg. Besut di Kg.  La,WL,Terengganu,5 31 50,102 29 00
5527421,Sg. Setiu di Kg. Buloh,WL,Terengganu,5 31 20,102 44 45
5624411,Sg. Dungun di Pasir Raja,WL,Terengganu,5 41 45,102 28 45
5624412,Sg. Besut At Kg. Rantau Panjang,WL,Terengganu,05 41 45,102 28 45
5724411,Sg. Besut di Jambatan Jerteh,WL,Terengganu,05 44 20,102 29 35
5724413,Sg. Pelagat di Pelagat,WL,Terengganu,05 43 50,102 27 20
3015431,Sg. Klang di Puchong Weir,WL,Wilayah Persekutuan,03 00 50,101 35 50
3016401,Sungai Klang di Jamabatan Petaling,WL,Wilayah Persekutuan,03 04 51.3,101 39 54.7
3116430,Sg. klang di Jambatan. Sulaiman,WL,Wilayah Persekutuan,03 08 20,101 41 50
3116432,"Sg. Klang di Leboh Pasar, K.Lumpur",WL,Wilayah Persekutuan,03 08 48,101 41 43
3116433,Sg. Gombak di Jln. Tun Razak,WL,Wilayah Persekutuan,03 10 25,101 41 50
3116434,Sg. Batu di Sentul,WL,Wilayah Persekutuan,03 10 35,101 41 15
3116435,Sungai Klang di Jamabatan Tun Perak,WL,Wilayah Persekutuan,03 09 1.8,101 41 54.5
3116436,Sungai Klang di Leboh Pasar,WL,Wilayah Persekutuan,03 06 45.3,101 41 47.7
3116439,Sungai Gombak di Jalan Parlimen,WL,Wilayah Persekutuan,03 09 4.8,101 41 43.1
3117402,Sg. Klang di Lrg. Yap Kwan Seng,WL,Wilayah Persekutuan,03 09 55,101 43 10
3117403,Sg. Bunus di Jln Tun Razak,WL,Wilayah Persekutuan,03 10 11,101 42 48
3117438,Sg. Klang At Kg. Bahru,WL,Wilayah Persekutuan,03 09 55,101 42 55
3216402,Sg. Anak Sg. Keroh di Taman Kepong,WL,Wilayah Persekutuan,03 12 00,101 38 40
3216403,Sungai Batu di Empangan Batu,WL,Wilayah Persekutuan,03 15 50,101 40 55
3216439,Sg. Batu di Kg. Sg. Tua,WL,Wilayah Persekutuan,03 16 20,101 41 10
3217401,Sg. Gombak di Damsite,WL,Wilayah Persekutuan,03 14 45,101 42 55
3217403,Sungai Gombak di Simpang Tiga,WL,Wilayah Persekutuan,03 14 43,101 42 55
3217435,Sungai Klang di Empangan Genting Klang,WL,Wilayah Persekutuan,03 14 10,101 45 10
1004438,Krusen,WL,Sarawak,001 04 11,110 29 52
1005447,Meringgu,WL,Sarawak,001 03 00,110 33 10
1006403,Bedup,WL,Sarawak,001 50 10,110 37 50
1015401,Entebar,WL,Sarawak,001 00 20,111 32 30
1018401,Lubok Antu,WL,Sarawak,001 02 35,111 49 35
1105401,Serian,WL,Sarawak,001 09 35,110 34 00
1108401,Sabal Kruin,WL,Sarawak,001 08 35,110 53 35
1114422,Entulang D,WL,Sarawak,001 09 00,111 25 35
1202401,Bengoh Gorge,WL,Sarawak,001 14 35,110 14 43
1206401,Gedong,WL,Sarawak,001 14 40,110 41 00
1301427,Buan Bidi,WL,Sarawak,001 23 54,110 06 46
1302428,Git,WL,Sarawak,001 21 20,110 15 50
1304439,Batu Gong,WL,Sarawak,001 20 46,110 26 23
1310401,Mintu,WL,Sarawak,001 18 40,111 03 50
1316401,Enteban,WL,Sarawak,001 19 20,111 37 10
1316402,Enteban 2,WL,Sarawak,001 19 30,111 38 15
1402401,Siniawan,WL,Sarawak,001 26 50,110 12 55
1402419,Batu Kitang,WL,Sarawak,001 27 10,110 16 45
1403402,8th Mile,WL,Sarawak,001 26 96,110 19 30
1415401,Lubau,WL,Sarawak,001 29 50,111 35 20
1502420,Batu Kawa,WL,Sarawak,001 30 40,110 16 05
1502435,Maong Kuala,WL,Sarawak,001 32 35,110 18 25
1503432,Kuching Satok Bridge,WL,Sarawak,001 33 15,110 19 15
1503434,Central Park,WL,Sarawak,001 31 25,110 20 10
1506401,Asa Jaya,WL,Sarawak,001 30 59,110 36 18
